Season,TeamName,BoxscoreIndex
2020,Army,2020-02-26-19-army
2020,Army,2020-02-29-12-colgate
2020,Army,2020-03-05-19-army
2020,Auburn,2019-11-05-21-auburn
2020,Auburn,2019-11-08-18-davidson
2020,Auburn,2019-11-12-20-south-alabama
2020,Auburn,2019-11-15-19-auburn
2020,Auburn,2019-11-18-20-auburn
2020,Auburn,2019-11-25-21-new-mexico
2020,Auburn,2019-11-26-19-richmond
2020,Auburn,2019-12-05-21-auburn
2020,Auburn,2019-12-14-16-auburn
2020,Auburn,2019-12-19-21-auburn
2020,Auburn,2019-12-21-18-auburn
2020,Auburn,2019-12-29-16-auburn
2020,Auburn,2020-01-04-16-mississippi-state
2020,Auburn,2020-01-08-21-auburn
2020,Auburn,2020-01-11-12-auburn
2020,Auburn,2020-01-15-21-alabama
2020,Auburn,2020-01-18-13-florida
2020,Auburn,2020-01-22-19-auburn
2020,Auburn,2020-01-25-12-auburn
2020,Auburn,2020-01-28-21-mississippi
2020,Auburn,2020-02-01-18-auburn
2020,Auburn,2020-02-04-19-arkansas
